"ANO","NIVEL","CODIGO","TVV","TVRC","TVVF","TVVM","TVCF","TVCM","TVMF","TVMM","TVC_22_34","TVC_35_45","IMVCF","DPVCF","IVCF_P25","IVCF_P50","IVCF_P75","IMVMM","DPVMM","IVMM_P25","IVMM_P50","IVMM_P75","TPIC","TAIC","TGIC"
2025,"UF",33,23,23,11,12,7,7,4,5,12,2,30.7142857142857,3.03942350423485,30,31,32,28,2,27,27,29,3,9,2
2025,"MUNICIPIO",330010,2,2,1,1,1,0,0,1,1,0,30,NA,30,30,30,31,NA,31,31,31,1,0,0
2025,"MUNICIPIO",330070,1,1,1,0,1,0,0,0,0,1,35,NA,35,35,35,NA,NA,NA,NA,NA,0,0,1
2025,"MUNICIPIO",330100,3,3,2,1,1,1,1,0,2,0,32,NA,32,32,32,NA,NA,NA,NA,NA,1,1,0
2025,"MUNICIPIO",330170,1,1,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
2025,"MUNICIPIO",330270,1,1,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,27,NA,27,27,27,0,0,0
2025,"MUNICIPIO",330330,2,2,1,1,1,1,0,0,2,0,31,NA,31,31,31,NA,NA,NA,NA,NA,0,1,1
2025,"MUNICIPIO",330350,3,3,0,3,0,1,0,2,1,0,NA,NA,NA,NA,NA,26.5,0.707106781186548,26.25,26.5,26.75,0,1,0
2025,"MUNICIPIO",330390,1,1,1,0,1,0,0,0,1,0,32,NA,32,32,32,NA,NA,NA,NA,NA,0,1,0
2025,"MUNICIPIO",330455,4,4,2,2,2,2,0,0,4,0,27.5,3.53553390593274,26.25,27.5,28.75,NA,NA,NA,NA,NA,1,3,0
2025,"MUNICIPIO",330490,3,3,1,2,0,1,1,1,0,1,NA,NA,NA,NA,NA,29,NA,29,29,29,0,1,0
2025,"MUNICIPIO",330620,2,2,1,1,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
